City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
88,ust-ishim,57.69,71.17,35.2,77,0,8.61,RU,1587774505
89,comodoro rivadavia,-45.87,-67.5,46.4,93,75,4.7,AR,1587774506
90,lufilufi,-13.87,-171.6,84.0,77,27,12.62,WS,1587774506
91,marsaxlokk,35.84,14.54,60.01,93,20,4.7,MT,1587774506
92,georgetown,5.41,100.34,80.6,94,20,3.36,MY,1587774506
93,jining,35.41,116.58,59.59,33,0,8.63,CN,1587774507
94,dikson,73.51,80.55,18.05,97,97,14.85,RU,1587774507
95,ponta do sol,32.67,-17.1,62.6,63,20,10.29,PT,1587774507
96,chicama,-7.84,-79.15,72.18,67,2,7.18,PE,1587774507
97,soyo,-6.13,12.37,80.38,87,100,6.91,AO,1587774507
98,estelle,29.85,-90.11,78.8,57,1,6.93,US,1587774508
99,saint-philippe,-21.36,55.77,75.2,83,75,5.82,RE,1587774508
100,san patricio,19.22,-104.7,77.0,73,40,11.41,MX,1587774508
101,zyryanka,65.75,150.85,30.0,99,99,5.06,RU,1587774508
102,new norfolk,-42.78,147.06,62.01,74,100,1.01,AU,1587774508
103,flinders,-34.58,150.86,71.01,56,0,10.29,AU,1587774508
104,castro,-24.79,-50.01,58.73,69,1,2.98,BR,1587774509
105,uyuni,-20.46,-66.83,51.84,11,0,6.08,BO,1587774509
106,amga,60.9,131.96,35.38,86,100,3.47,RU,1587774509
107,ipiau,-14.14,-39.73,68.18,85,36,2.39,BR,1587774509
108,dryden,49.78,-92.75,51.8,37,1,9.17,CA,1587774509
109,soron,27.88,78.75,81.54,28,39,1.81,IN,1587774509
110,broome,42.25,-75.83,48.2,81,90,9.17,US,1587774510
111,iqaluit,63.75,-68.51,32.0,89,90,12.75,CA,1587774510
112,dakar,14.69,-17.44,68.0,88,90,4.7,SN,1587774385
113,barrow,71.29,-156.79,5.0,77,1,14.99,US,1587774510
114,kununurra,-15.77,128.73,89.6,33,15,4.7,AU,1587774510
